tags_id,expression_id
6,1
6,2
4,3
7,4
6,5
6,6
2,7
7,8
7,9
2,10
6,11
6,12
6,13
6,14
6,15
6,16
6,17
6,18
6,19
6,20
6,21
1,21
7,22
6,23
8,23
6,24
8,24
6,25
8,25
6,26
8,26
6,27
8,27
6,28
8,28
6,29
8,29
6,30
8,30
6,31
8,31
6,32
8,32
6,33
8,33
6,34
8,34
6,35
8,35
6,36
8,36
6,37
8,37
6,38
8,38
6,39
8,39
8,40
8,41
6,42
8,42
6,43
8,43
6,44
8,44
6,45
8,45
6,46
6,47
6,48
1,49
6,50
9,51
9,52
9,53
9,54
9,55
9,56
9,57
2,58
2,59
2,60
2,61
2,62
2,63
2,64
2,65
2,66
2,67
2,68
2,69
2,70
2,71
2,72
2,73
2,74
2,75
7,76
7,77
7,78
7,79
7,80
7,81
1,82
1,83
1,84
1,85
1,86
1,87
1,88
1,89
1,90
1,91
1,92
1,93
1,94
1,95
1,96
1,97
7,97
1,98
7,98
1,99
7,99
1,100
1,101
1,102
1,103
1,104
1,105
6,106
6,107
7,108
6,109
7,110
7,111
7,112
6,113
6,114
4,115
4,116
4,117
4,118
4,119
4,120
4,121
4,122
4,123
4,124
4,125
4,126
4,127
7,128
4,129
5,130
5,131
5,132
5,133
8,134
8,135
3,136
3,137
3,138
3,139
3,140
3,141
3,142
3,143
7,144
7,145
7,146
7,147
7,148
7,149
6,150
2,151
2,152
7,153
7,154
3,155
3,156
2,157
2,158
7,159
7,160
7,161
7,162
2,163
6,164
6,165
9,166
9,167
9,168
9,169
9,170
9,171
9,172
9,173
9,174
9,175
9,176
9,177
9,178
9,179
2,180
2,181
2,182
2,183
2,184
9,185
9,186
9,187
9,188
9,189
9,190
9,191
7,192
7,193
7,194
7,195
7,196
7,197
7,198
1,199
7,200
1,201
1,202
7,202
10,203
10,204
10,205
7,206
6,207
1,208
1,209
1,210
2,210
9,210
1,211
2,211
9,211
1,212
2,212
9,212
1,213
2,213
9,213
1,214
7,214
2,215
9,215
2,216
9,216
2,217
9,217
2,218
9,218
1,219
1,220
2,220
1,221
2,221
1,222
2,222
1,223
2,223
6,224
9,225
9,226
9,227
9,228
9,229
9,230
9,231
8,232
8,233
8,234
8,235
8,236
8,237
8,238
8,239
8,240
8,241
7,242
7,243
8,244
7,244
7,245
7,246
10,247
10,248
9,249
8,250
8,251
8,252
8,253
7,254
8,255
