id,url,date,titre,description,keywords,auteur_id,type_id
1,"https://youtu.be/cg7hrkemai4","2000-01-01","La Tribu de Fifils","Extrait de son album \"An 2000 en liberté\"","tribu dana faubourg vdt",1,2
2,"https://youtu.be/_S813Sbp-IM","2000-01-01","La Bancoule à Mamie","Extrait de son album \"An 2000 en liberté\"","ver bancoule asticot farino fogliani zoreil",1,2
3,"https://youtu.be/3Nl5Fo_bT04","1992-01-01","Notre Caillou","Extrait de son album \"Kons Sensus\"","caledonie caillou cocotier niaouli lagon picot dawa chasse",1,2
4,"https://youtu.be/qcOMiuRkzHU","1992-01-01","C'est toi mon amour","Extrait de la compilation \"Les accords du père François\"","amour flamme bougna cochon igname divorce",1,2
5,"https://youtu.be/5dm8b-Xm3C0?list=RD5dm8b-Xm3C0","2019-08-18","Les zoreils","Extrait de son album \"Kons Sensus\"",,1,2
6,"https://youtu.be/QDmQbScJ1Sw","2011-11-06","Air Kanin Air Kanaky International","Extrait de la compilation \"Les accords du père François\"",,1,2
7,"https://youtu.be/NEHJnzSo8Kw","2011-03-09","Le Tourisme Vert","Extrait de la compilation \"Les accords du père François\"",,1,2
8,"https://youtu.be/Ap7R01LV_vY","2012-02-15","An 2000, c'est la Boulette","Extrait de son album \"An 2000 en liberté\"",,1,2
9,"https://youtu.be/s4cJ0fDtgDo","2011-09-11","Le Loulou Garou","Extrait de la compilation \"Les accords du père François\"",,1,2
10,"https://youtu.be/xZxvT9dC-uQ","2012-02-16","Revue de Presse","Extrait de la compilation \"Les accords du père François\"",,1,2
11,"https://www.facebook.com/kingtazNC/videos/893274671099277/","2020-05-29","Kingtäz Classics - Alice et le chat feinteur (Parodie Alice au pays des merveilles)","Parodie spécialement dédiée à ma petite Alice née lundi après-midi","dessin anime alice disney parodie tiktok sao",3,2
12,"https://www.facebook.com/kingtazNC/videos/2065294666832542/","2017-10-25","Kingtäz - Le Camp Ouest","Le Camp Ouest ! Mieux vaut pas être incarcéré là bas ...","sketch audio camp ouest zoreil cannabis taureau brochette poulet kfc",3,2
13,"https://www.facebook.com/kingtazNC/videos/1916505638378113/","2017-06-30","Kingtäz - L'entretien d'embauche","SKETCH AUDIO - L'entretien d'embauche","sketch audio entretien embauche",3,2
14,"https://youtu.be/KNZF4hjEDI0","2019-08-01","Kingtäz - Un Zoreil à Bourail EPISODE 0","Un Zoreil à Bourail - Episode 0 (Prequel)","parodie retour vers le futur zoreil foire bourail",3,2
15,"https://youtu.be/APNXweghLuI","2019-08-01","Kingtäz - Un Zoreil à Bourail EPISODE 1","Un Zoreil à Bourail - Episode 1 (Avec les voix de Dany & Kingtäz)","parodie retour vers le futur zoreil foire bourail",3,2
16,"https://youtu.be/D7lyCqh1K6k","2019-08-01","Kingtäz - Un Zoreil à Bourail EPISODE 2","Un Zoreil à Bourail - Episode 2 (Avec les voix de Dany & Kingtäz)",,3,2
17,"https://youtu.be/_w71rWC-vSM","2019-08-01","Kingtäz - Un Zoreil à Bourail EPISODE 3","Un Zoreil à Bourail - Episode 3 (Avec les voix de Dany & Kingtäz)",,3,2
18,"https://youtu.be/EMXqMkVoONM","2019-08-14","Kingtäz - Un ZOREIL A BOURAIL - EP.1 (ORIGINAL)","AVEC DANY BANREU",,3,2
19,"https://youtu.be/12ztWg0II7E","2011-05-24","Le seigneur des anneaux Parodie Caldoche","Parodie avec des expressions, et des accents de Nouvelle-Calédonie ! Juste un petit délire au passage, j'avais rien à foutre une apres-midi, donc voilà ce que ça donne ! Enjoy ! :D",,3,2
20,"https://youtu.be/ZoZ732q17ZM","2011-05-26","Kingtäz - Parodie Seigneur des anneaux 2","Ma deuxieme parodie du seigneur des anneaux version caldoche ! La suite arrive, donc après je vais tout racoller les videos, comme ça ça feras une histoire de 10 minutes environ ! Faites tourner SVP !!!",,3,2
21,"https://youtu.be/mJVaaAHCUcM","2011-05-26","Kingtäz - Parodie Seigneur des Anneaux N. 3 !!!!","Suite à un bon succes des 2 premieres vidéos, voici la 3ème en cadeau !!! Continuez à faire tourner ça fais plaisir !!! By DJ Kingtäz ;)",,3,2
22,"https://youtu.be/nDHgCEdtcPI","2011-05-28","Kingtäz - Le seigneur des anneaux caldoche parodie N.4","Voici la numéro 4 !!!",,3,2
23,"https://youtu.be/9M9iSPMAkEA","2011-05-31","Kingtäz - Parodie Harry Potter Caldoche","Voilà, à la demande de beaucoup que je change de film pour tester un coup, une parodie de harry potter 1, qui dure déjà 4:30 (beaucoup plus long) à vous de dire si c'est toujours choc ! Faites tourner la bande !! :)",,3,2
24,"https://youtu.be/AYd8LaHSTb4","2011-05-31","Kingtäz - Parodie Seigneur des Anneaux EXTRA","Petit Extra très court des parodies du seigneur des anneaux by Quentin Joubert / DJ Kingtäz.  Enjoy !",,3,2
25,"https://youtu.be/Vrmr0Fqw0Pk","2011-06-09","Kingtäz - Esther Parodie","Une ptite nouvelle en attendant la prochaine ! By Kingtäz - Quentin Joubert",,3,2
26,"https://youtu.be/jPCLEJe4-xs","2011-07-11","Kingtäz - Pirates des Caraïbes Parodie (Juillet 2011)","Et voilà une petite de pirates des caraïbes ! La suite pour bientôt que je ferais en direct de la Malaisie dans quelques semaines !",,3,2
27,"https://youtu.be/lA2QVFAc3AM","2011-07-17","Kingtäz - Parodie Interview David Guetta","Petite parodie d'une interview de David Guetta .... Ouais ouais, il est un peu débile .... ENJOY !!!! :D",,3,2
28,"https://youtu.be/hSPFlf369JM","2011-08-05","Kingtäz - Parodie Twilight (5 AOÛT 2011)","Voici la parodie de Twilight finie ! Merci pour votre patience, et faites tourner comme les autres ! À très bientôt avec une nouvelle parodie, qui seras enregistrée directement à Nouméa cette fois ci !",,3,2
29,"https://youtu.be/QiRZ3cSwMA8","2011-11-22","Kingtäz - Le GPS Calédonien (Original)","Petit sketch sur un improbable GPS Calédonien .... Vos avis ?? Faut en faire un pour de vrai ou quoi ?! ;)",,3,2
30,"https://youtu.be/mHdciWbv_kw","2011-12-16","Kingtäz - Parodie Aladdin","Il ne faut pas croire que tout le monde il est gentil dans les Disney's .... La preuve !!!",,3,2
31,"https://youtu.be/9vJe2KJAOvg","2012-01-11","Kingtäz - Parodie Le Roi Lion","Faite en peu de temps, par manque de temps entre autre ... Mais bon ! Enjoy quand même !! :)",,3,2
32,"https://youtu.be/7j6R0MmIiGQ","2012-01-13","Quentin Joubert (Kingtäz) presents - Kingtäz Airlines","Pour suivre la lignée du GPS Calédonien ... Voici Kingtäz Airlines ! Enjoy ! :)",,3,2
33,"https://youtu.be/lH5eOxdxbpE","2012-03-20","Kingtäz presents MC Neketch !","Petit délire d'un week end ... Partagez !!!",,3,2
34,"https://youtu.be/AiRqvgQYQY","2012-05-08","Kingtäz - Parodie \"Le Rite\"","Petite parodie du film \"The Rite\" avec Anthony Hopkins ! Parodie du 8 Mai 2012.",,3,2
35,"https://youtu.be/gyZGFdyZITY","2012-06-18","Kingtäz - Parodie Twilight II","Après un petit moment d'absence, je suis de retour avec une nouvelle vidéo sur Twilight !",,3,2
36,"https://youtu.be/wgPmNL8pMzQ","2012-10-09","Kingtäz 2012 - Parodie Seigneur des Anneaux (Remasterisé)","Premier Remastering ! Enjoy, et faites tourner cette nouvelle version inédite !",,3,2
37,"https://youtu.be/h37NNATblaY","2012-12-12","Kingtäz - Parodie Journal TV NC 1ère","Ahouuuu Nathalie Déléléïpé !",,3,2
38,"https://youtu.be/6uUspLx03F8","2012-12-12","Kingtäz - Parodie Fast and Furious","Ahouka Mr Propre !!!",,3,2
39,"https://youtu.be/-rON7PwCrqM","2013-04-29","Kingtäz L'auto-stop (Zombieland)","Nouvelle parodie !! Cette fois ci sur le film ZOMBIELAND !!!",,3,2
40,"https://youtu.be/_J5yJADqo9Q","2013-05-15","Manifestation contre la vie chère à Nouméa !! GROS BORDEL !!","Avouez que vous y avez cru hein !!! Enjoy la nouvelle parodie !! Featuring MATTHIEU LARROUY",,3,2
41,"https://youtu.be/H-CjZdqu0QQ","2014-09-18","Kingtäz Carglass Calédonie","Petite pub de Carglass qui devrait ressembler à ça en Calédonie …",,3,2
42,"https://youtu.be/BUq5OcOzwkM","2014-11-17","Kingtäz - François Hollande 2014","François Hollande s'est bien acclimaté !!! ^^",,3,2
43,"https://youtu.be/c2a-3baSd80","2015-03-28","Kingtäz Interview Jackie Chan","Même Jackie Chan a réagit sur les vidéos de Bastons en NC !!! Abusé ................. ;)",,3,2
44,"https://youtu.be/FE49QyrOLC0","2015-05-01","Kingtäz Anniversary #1","Pour fêter les 4 ans de kingtäz Productions, voici 4 parodies remasterisées & inédite toutes les semaines du mois de Mai 2015 !",,3,2
45,"https://youtu.be/1ebyO4r5xoM","2015-05-06","Kingtäz - Sex Academy (Parodie Caldoche)","Enjoy !",,3,2
46,"https://youtu.be/E_21QRNIpc8","2015-05-09","Kingtäz - Hotel Aïta Le Luxe (SKECTH CALDOCHE) 2015","Cette vidéo est spécialement dédicassée à Anaïs Valin qui nous a quitté le 4/05/2015. En souvenir de nos années à Escoffier !",,3,2
47,"https://youtu.be/K7eTdnw0NyE","2016-11-29","Kingtäz - Le blanc trop intégré *Part 1* (Scary Movie 3)",,,3,2
48,"https://youtu.be/aXg1II_RgSk","2016-03-17","Kingtäz - Pub Samsung 2016","Ka Bourre Toiiiiiiiiiiiiiiii",,3,2
49,"https://youtu.be/uBpCJ-n2_eU","2016-11-29","Kingtäz - Les Météos du Monde (Parodie)",,,3,2
50,"https://youtu.be/zpM3ROLVFH4","2016-11-29","Kingtäz - L'université des Monstres Halloween",,,3,2
51,"https://youtu.be/dod52EH7QAw","2016-11-29","Kingtäz - Le blanc trop intégré Part 2 (Scary Movie 3)",,,3,2
52,"https://youtu.be/GpX7DfOUNoc","2017-05-25","Kingtäz - TON NOM !","Ton nom en Lifou ! AWEEEE",,3,2
53,"https://youtu.be/hmL24bJM3r0","2017-05-25","Kingtäz - Parodie Batman VS Superman","C'est pas facile d'être un super-héros en fait ... :p",,3,2
54,"https://youtu.be/byug4sW1w2Y","2017-05-25","Kingtäz - Parodie Le Roi Lion (Avec Dany Banreu)","La fête des pères, ben y'a aussi chez les lions !",,3,2
55,"https://youtu.be/KWKlD720fRQ","2017-11-26","PARODIE LA BELLE & LA BÊTE – Kingtäz","Détournement de La Belle & la Bête en version NOUVELLE-CALÉDONIE !",,3,2
56,"https://youtu.be/Bu6Q8i7UMOg","2017-12-05","Kingtäz La foire de Bourail (Sketch audio illustré)","Kingtäz - SKETCH AUDIO ILLUSTRÉ - LA FOIRE DE BOURAIL (avec mon con d'zoreil encore ...) Illustrations par Flo Kämô !",,3,2
57,"https://youtu.be/MlPD_tEPy60","2019-02-12","KINGTÄZ - PARODIE TITANIC (2019)","Détournement du film Titanic, en version Calédonienne !  (Donc cherchez pas si vous comprenez pas tout, venez plutôt en vacances chez nous !)",,3,2
58,"https://youtu.be/yM4dqF60XDc","2019-04-28","KINGTÄZ - PARODIE FRÈRE DES OURS (2019)","Les préjugés c'est pas bien ..... ;)",,3,2
59,"https://youtu.be/LA81qmazxNE","2019-05-27","Kingtäz - Parodie Simpsons (Milakulo le recherché)","Ceci est un message du gouvernement de Springfield :D",,3,2
60,"https://youtu.be/4kn5qfeTsBA","2019-08-01","Kingtäz - Harry Tripotteur et la Rentrée Magique (2016)",,,3,2
61,"https://youtu.be/q66KxA2kiAc","2019-08-01","D&K - Parodie Age de Glace (2016)","By Dany & Kingtäz",,3,2
62,"https://youtu.be/E5_aaSDjv3I","2019-08-01","D&K - Parodie Aladdin (2016)","By Dany & Kingtäz",,3,2
63,"https://youtu.be/Xr4V2fTDDUk","2019-08-01","D&K - Parodie Kuzco","By Dany & Kingtäz",,3,2
